timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,temperature,cadence,fractional_cadence
2021-07-11 18:01:52-07:00,10.876928865909576,79.09282922744751,0.29906,-20.0,-20.0,19.692,19.692,132,30,,
2021-07-11 18:01:53-07:00,10.876855105161667,79.09275949001312,0.3053,-20.0,-20.0,22.464000000000002,22.464000000000002,131,30,,
2021-07-11 18:01:54-07:00,10.876965075731277,79.09263074398041,0.31259,-20.0,-20.0,26.244,26.244,131,30,,
2021-07-11 18:01:55-07:00,10.876925513148308,79.0925395488739,0.31979,-20.0,-20.0,25.92,25.92,131,30,,
2021-07-11 18:01:56-07:00,10.876970440149307,79.09250736236572,0.32604,-20.0,-20.0,24.516,24.516,131,30,,
2021-07-11 18:01:59-07:00,10.877076387405396,79.09218549728394,0.36236,-20.0,-20.0,24.336,24.336,132,30,,
2021-07-11 18:02:00-07:00,10.877115279436111,79.09209430217743,0.36915,-20.0,-20.0,24.444,24.444,132,30,,
2021-07-11 18:02:01-07:00,10.877022743225098,79.09213185310364,0.37666000000000005,-20.0,-20.0,27.036,27.036,132,30,,
2021-07-11 18:02:02-07:00,10.877047553658485,79.09202992916107,0.38395999999999997,-20.0,-20.0,26.28,26.28,133,30,,
2021-07-11 18:02:03-07:00,10.876960381865501,79.09205675125122,0.39080000000000004,-20.0,-20.0,24.624,24.624,133,30,,
2021-07-11 18:02:04-07:00,10.876951664686203,79.0919977426529,0.39796,-20.0,-20.0,23.868,23.868,133,30,,
2021-07-11 18:02:12-07:00,10.876638516783714,79.09139692783356,0.47184,-20.0,-20.0,20.988,20.988,131,30,,
2021-07-11 18:02:13-07:00,10.876786708831787,79.09129500389099,0.47775,-20.0,-20.0,21.276,21.276,131,30,,
2021-07-11 18:02:14-07:00,10.876841023564339,79.0911877155304,0.48441,-20.0,-20.0,23.976000000000003,23.976000000000003,130,30,,
2021-07-11 18:02:15-07:00,10.876888632774353,79.0911716222763,0.48973,-20.0,-20.0,25.488,25.488,130,30,,
2021-07-11 18:02:16-07:00,10.876856446266174,79.0911340713501,0.49465,-20.0,-20.0,24.48,24.48,130,30,,
2021-07-11 18:02:17-07:00,10.876775309443474,79.0911340713501,0.50182,-20.0,-20.0,25.812,25.812,129,30,,
2021-07-11 18:02:18-07:00,10.876723676919937,79.0911716222763,0.5081100000000001,-20.0,-20.0,25.704,25.704,128,30,,
2021-07-11 18:02:20-07:00,10.876570120453835,79.09107506275177,0.52808,-20.0,-20.0,22.788,22.788,127,30,,
2021-07-11 18:02:21-07:00,10.876411870121956,79.09109115600586,0.53537,-20.0,-20.0,26.244,26.244,126,30,87,
2021-07-11 18:02:22-07:00,10.876450091600418,79.09094631671906,0.5428200000000001,-20.0,-20.0,26.82,26.82,126,30,79,
2021-07-11 18:02:23-07:00,10.876570120453835,79.09085512161255,0.54928,-20.0,-20.0,23.256,23.256,127,30,78,
2021-07-11 18:02:24-07:00,10.87657280266285,79.09074783325195,0.55564,-20.0,-20.0,22.896,22.896,126,30,81,
2021-07-11 18:02:29-07:00,10.87691143155098,79.09006655216217,0.63903,-20.0,-20.0,23.184,23.184,127,30,,
2021-07-11 18:02:30-07:00,10.876946970820427,79.08995389938354,0.6456799999999999,-20.0,-20.0,23.94,23.94,128,30,,
2021-07-11 18:02:31-07:00,10.876891314983368,79.08995389938354,0.6518999999999999,-20.0,-20.0,24.840000000000003,24.840000000000003,128,30,,
2021-07-11 18:02:32-07:00,10.876896008849144,79.08987879753113,0.66001,-20.0,-20.0,24.876,24.876,128,30,,
2021-07-11 18:02:33-07:00,10.876880586147308,79.08982515335083,0.66649,-20.0,-20.0,24.912,24.912,128,30,,
2021-07-11 18:02:34-07:00,10.876871198415756,79.08976078033447,0.67327,-20.0,-20.0,25.092,25.092,129,30,,
2021-07-11 18:02:35-07:00,10.876871198415756,79.08971786499023,0.6779700000000001,-20.0,-20.0,26.064,26.064,130,30,,
2021-07-11 18:02:36-07:00,10.876853093504906,79.08964812755585,0.68538,-20.0,-20.0,25.596,25.596,130,30,,
